        155     156     177     1          
        176     177     198     1          
        197     198     219     1          
        218     219     240     1          
        239     240     261     1          
        260     261     282     1          
        281     282     303     1          
        302     303     324     1          
        323     324     345     1          
        344     345     366     1          
        365     366     387     1          
        386     387     408     1          
        407     408     429     1          
        9       31      30      1          
        30      52      51      1          
        51      73      72      1          
        72      94      93      1          
        93      115     114     1          
        114     136     135     1          
        135     157     156     1          
        156     178     177     1          
        177     199     198     1          
        198     220     219     1          
        219     241     240     1          
        240     262     261     1          
        261     283     282     1          
        282     304     303     1          
        303     325     324     1          
        324     346     345     1          
        345     367     366     1          
        366     388     387     1          
        387     409     408     1          
        408     430     429     1          
        9       10      31      1          
        30      31      52      1          
        51      52      73      1          
        72      73      94      1          
        93      94      115     1          
        114     115     136     1          
        135     136     157     1          
        156     157     178     1          
        177     178     199     1          
        198     199     220     1          
        219     220     241     1          
        240     241     262     1          
        261     262     283     1          
        282     283     304     1          
        303     304     325     1          
        324     325     346     1          
        345     346     367     1          
        366     367     388     1          
        387     388     409     1          
        408     409     430     1          
        10      32      31      1          
        31      53      52      1          
        52      74      73      1          
        73      95      94      1          
        94      116     115     1          
        115     137     136     1          
        136     158     157     1          
        157     179     178     1          
        178     200     199     1          
        199     221     220     1          
        220     242     241     1          
        241     263     262     1          
        262     284     283     1          
        283     305     304     1          
        304     326     325     1          
        325     347     346     1          
        346     368     367     1          
        367     389     388     1          
        388     410     409     1          
        409     431     430     1          
        10      11      32      1          
        31      32      53      1          
        52      53      74      1          
        73      74      95      1          
        94      95      116     1          
        115     116     137     1          
        136     137     158     1          
        157     158     179     1          
        178     179     200     1          
        199     200     221     1          
        220     221     242     1          
        241     242     263     1          
        262     263     284     1          
        283     284     305     1          
        304     305     326     1          
        325     326     347     1          
        346     347     368     1          
        367     368     389     1          
        388     389     410     1          
        409     410     431     1          
        11      33      32      1          
        32      54      53      1          
        53      75      74      1          
        74      96      95      1          
        95      117     116     1          
        116     138     137     1          
        137     159     158     1          
        158     180     179     1          
        179     201     200     1          
        200     222     221     1          
        221     243     242     1          
        242     264     263     1          
        263     285     284     1          
        284     306     305     1          
        305     327     326     1          
        326     348     347     1          
        347     369     368     1          
        368     390     389     1          
        389     411     410     1          
        410     432     431     1          
        11      12      33      1          
        32      33      54      1          
        53      54      75      1          
        74      75      96      1          
        95      96      117     1          
        116     117     138     1          
        137     138     159     1          
        158     159     180     1          
        179     180     201     1          
        200     201     222     1          
        221     222     243     1          
        242     243     264     1          
        263     264     285     1          
        284     285     306     1          
        305     306     327     1          
        326     327     348     1          
        347     348     369     1          
        368     369     390     1          
        389     390     411     1          
        410     411     432     1          
        12      34      33      1          
        33      55      54      1          
        54      76      75      1          
        75      97      96      1          
        96      118     117     1          
        117     139     138     1          
        138     160     159     1          
        159     181     180     1          
        180     202     201     1          
        201     223     222     1          
        222     244     243     1          
        243     265     264     1          
        264     286     285     1          
        285     307     306     1          
        306     328     327     1          
        327     349     348     1          
        348     370     369     1          
        369     391     390     1          
        390     412     411     1          
        411     433     432     1          
        12      13      34      1          
        33      34      55      1          
        54      55      76      1          
        75      76      97      1          
        96      97      118     1          
        117     118     139     1          
        138     139     160     1          
        159     160     181     1          
        180     181     202     1          
        201     202     223     1          
        222     223     244     1          
        243     244     265     1          
        264     265     286     1          
        285     286     307     1          
        306     307     328     1          
        327     328     349     1          
        348     349     370     1          
        369     370     391     1          
        390     391     412     1          
        411     412     433     1          
        13      35      34      1          
        34      56      55      1          
        55      77      76      1          
        76      98      97      1          
        97      119     118     1          
        118     140     139     1          
        139     161     160     1          
        160     182     181     1          
        181     203     202     1          
        202     224     223     1          
        223     245     244     1          
        244     266     265     1          
        265     287     286     1          
        286     308     307     1          
        307     329     328     1          
        328     350     349     1          
        349     371     370     1          
        370     392     391     1          
        391     413     412     1          
        412     434     433     1          
        13      14      35      1          
        34      35      56      1          
        55      56      77      1          
        76      77      98      1          
        97      98      119     1          
        118     119     140     1          
        139     140     161     1          
        160     161     182     1          
        181     182     203     1          
        202     203     224     1          
        223     224     245     1          
        244     245     266     1          
        265     266     287     1          
        286     287     308     1          
        307     308     329     1          
        328     329     350     1          
        349     350     371     1          
        370     371     392     1          
        391     392     413     1          
        412     413     434     1          
        14      36      35      1          
        35      57      56      1          
        56      78      77      1          
        77      99      98      1          
        98      120     119     1          
        119     141     140     1          
        140     162     161     1          
        161     183     182     1          
        182     204     203     1          
        203     225     224     1          
        224     246     245     1          
